Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-06-18,194.8,199.58,194.13,198.31,16826000,0,0
2018-06-19,196.24,197.96,193.79,197.49,19994000,0,0
2018-06-20,199.1,203.55,198.81,202.0,28230900,0,0
2018-06-21,202.76,203.39,200.09,201.5,19045700,0,0
2018-06-22,201.16,202.24,199.31,201.74,17420200,0,0
2018-06-25,200.0,200.0,193.11,196.35,25275100,0,0
2018-06-26,197.6,199.1,196.23,199.0,17897600,0,0
2018-06-27,199.18,200.75,195.8,195.84,18734400,0,0
2018-06-28,195.18,197.34,193.26,196.23,18172400,0,0
2018-06-29,197.32,197.6,193.96,194.32,15811600,0,0
2018-07-02,193.37,197.45,192.22,197.36,13961600,0,0
2018-07-03,194.55,195.4,192.52,192.73,13489500,0,0
2018-07-05,194.74,198.65,194.03,198.45,19684200,0,0
2018-07-06,198.45,203.64,197.7,203.23,19740100,0,0
2018-07-09,204.93,205.8,202.12,204.74,18149400,0,0
2018-07-10,204.5,204.91,202.26,203.54,13190100,0,0
2018-07-11,202.22,204.5,201.75,202.54,12927400,0,0
2018-07-12,203.43,207.08,203.19,206.92,15454700,0,0
2018-07-13,207.81,208.43,206.45,207.32,11486800,0,0
2018-07-16,207.5,208.72,206.84,207.23,11078200,0,0
2018-07-17,204.9,210.46,204.84,209.99,15349900,0,0
2018-07-18,209.82,210.99,208.44,209.36,15334900,0,0
2018-07-19,208.77,209.99,207.76,208.09,11350400,0,0
2018-07-20,208.85,211.5,208.5,209.94,16163900,0,0
2018-07-23,210.58,211.62,208.8,210.91,16732000,0,0
2018-07-24,215.11,216.2,212.6,214.67,28468700,0,0
2018-07-25,215.72,218.62,214.27,217.5,58954200,0,0
2018-07-26,174.89,180.13,173.75,176.26,169803700,0,0
2018-07-27,179.87,179.93,173.0,174.89,60073700,0,0
2018-07-30,175.3,175.3,166.56,171.06,65280800,0,0
2018-07-31,170.67,174.24,170.0,172.58,40356500,0,0
2018-08-01,173.93,175.08,170.9,171.65,34042100,0,0
2018-08-02,170.68,176.79,170.27,176.37,32400000,0,0
2018-08-03,177.69,178.85,176.15,177.78,24763400,0,0
2018-08-06,178.97,185.79,178.38,185.69,49716200,0,0
2018-08-07,186.5,188.3,183.72,183.81,33398600,0,0
2018-08-08,184.75,186.85,183.76,185.18,22205200,0,0
2018-08-09,185.85,186.57,182.48,183.09,19732100,0,0
2018-08-10,182.04,182.1,179.42,180.26,21500400,0,0
2018-08-13,180.1,182.61,178.9,180.05,17423300,0,0
2018-08-14,180.71,181.99,178.62,181.11,19102000,0,0
2018-08-15,179.34,180.87,174.78,179.53,33020200,0,0
2018-08-16,180.42,180.5,174.01,174.7,31351800,0,0
