Date,ID,Tweet,User id,User name,User screen name,User location,User url,User description,place,Entities,Stock Symbol,Company
2019-12-30 23:57:56,1211798606270914560,"Sykes a los 18 para...at&amp;t...vendiendo varas, honestly what doesn’t kill you makes you stronger https://t.co/G1tNT4z12d",735294785611661312,harry styles fan account sofi,sofiaasafangirl,San José/Guanacaste,https://t.co/IKWjf55r39,Bonita pero apená. Por fa mándenme fotos de perritos 🌈 She/her,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/G1tNT4z12d', 'expanded_url': 'https://twitter.com/annemariehutt_/status/1211716064045928452', 'display_url': 'twitter.com/annemariehutt_…', 'indices': [100, 123]}]}",T,AT&T
2019-12-30 23:57:27,1211798482509598723,"RT @ForLinkin: GOLD AND MIDNIGHT GREEN AVAILABLE 

LETS DO THE REDUCTION SALES #LinkinForLife 

📲IPHONE 11 PRO MAX 512GIG LOCKED TO AT&amp;T GO…",1027360645816229889,JnrSambaBoy,jnr_samba,Ghana,,Photography Gaming News Basketball Wrestling Soccer Business & Finance Sports commentary Premier League Car Culture Animals UFC Politics,,"{'hashtags': [{'text': 'LinkinForLife', 'indices': [79, 93]}], 'symbols': [], 'user_mentions': [{'screen_name': 'ForLinkin', 'name': 'LinkinForLife', 'id': 1037711739457073154, 'id_str': '1037711739457073154', 'indices': [3, 13]}], 'urls': []}",T,AT&T
2019-12-30 23:57:20,1211798454860701696,"RT @PSUBarstool: UPDATE: Jordan Stout knocked out a panel on the AT&amp;T Stadium Jumbotron.

At least it won’t be needed for a Cowboys playoff…",2204249246,A$AP Dad,Coed_chase,"Lubbock, Tx",,"My wife makes cute kids. Certified Pokémon Master since 1996, Texas Forever🇨🇱",,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'PSUBarstool', 'name': 'Barstool Penn State', 'id': 2422250906, 'id_str': '2422250906', 'indices': [3, 15]}], 'urls': []}",T,AT&T
2019-12-30 23:57:14,1211798428461780993,"RT @KernUnited: PATRIOTS:  BOYCOTT @ATT!  

aka ""Antifa Telephone &amp; Telegraph""

☑️AT&amp;T forces American workers to train their own #H1B repl…",821767160150323200,James Harrington,Godknowsyerdumb,"Metamora,mi.",,I love God and country--I HATE THOSE WHO DO NOT,,"{'hashtags': [{'text': 'H1B', 'indices': [138, 142]}], 'symbols': [], 'user_mentions': [{'screen_name': 'KernUnited', 'name': 'California Rising', 'id': 979578438506889216, 'id_str': '979578438506889216', 'indices': [3, 14]}, {'screen_name': 'ATT', 'name': 'AT&T', 'id': 14620190, 'id_str': '14620190', 'indices': [35, 39]}], 'urls': []}",T,AT&T
2019-12-30 23:56:52,1211798339374714880,AT&amp;T 5G: Everything You Need to Know About the Rollout | Digital Trends https://t.co/yPrNARjnB0 https://t.co/jLgTM26L55,1227841442,eBroky,e_Broky,"Bucharest, Bucureşti",http://ebroky.com,WebDesigner - Wordpress and Opencart / Asistent in Brokeraj - Destine Broker de Asigurare,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/yPrNARjnB0', 'expanded_url': 'https://ebroky.com/att-5g-everything-you-need-to-know-about-the-rollout-digital-trends/', 'display_url': 'ebroky.com/att-5g-everyth…', 'indices': [76, 99]}], 'media': [{'id': 1211798337864785921, 'id_str': '1211798337864785921', 'indices': [100, 123], 'media_url': 'http://pbs.twimg.com/media/ENEsKvvW4AESCPK.jpg', 'media_url_https': 'https://pbs.twimg.com/media/ENEsKvvW4AESCPK.jpg', 'url': 'https://t.co/jLgTM26L55', 'display_url': 'pic.twitter.com/jLgTM26L55', 'expanded_url': 'https://twitter.com/e_Broky/status/1211798339374714880/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 768, 'h': 402, 'resize': 'fit'}, 'small': {'w': 680, 'h': 356, 'resize': 'fit'}, 'medium': {'w': 768, 'h': 402, 'resize': 'fit'}}}]}",T,AT&T
2019-12-30 23:56:31,1211798250249957377,"@realDonaldTrump AT&amp;T Layoffs, Outsourcing Show H-1B Denials Aren’t Curbing Visa Use. END H1B NOW!",964952091855867905,Bill Porsche,BollPorsche,United States,,,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [0, 16]}], 'urls': []}",T,AT&T
2019-12-30 23:56:23,1211798217916141568,@Matt_Stepp817 AT&amp;T is by far the best location.  When the games were held at NRG the attendance was down tremendou… https://t.co/dBNsd57ir1,753027948081389568,Jake Freeman,JakeFre60500213,"Texas, USA",,,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Matt_Stepp817', 'name': 'Matt Stepp', 'id': 548114664, 'id_str': '548114664', 'indices': [0, 14]}], 'urls': [{'url': 'https://t.co/dBNsd57ir1', 'expanded_url': 'https://twitter.com/i/web/status/1211798217916141568', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [121, 144]}]}",T,AT&T
2019-12-26 23:49:59,1210347052200267778,AT&amp;T Loses Money and Loses Customers https://t.co/EGa68cgVzq https://t.co/tKeqqnWkNU,3268894544,Geek Crunch Reviews,GeekCrunchR,"Dwarka, India",https://t.co/r4voulF5aU,"Giving you with high quality #hosting services and tips - Fully Managed #vps hosting, Business Hosting, Cloud Server - Follow me for special offers and news",,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/EGa68cgVzq', 'expanded_url': 'https://geekcrunch.reviews/att-loses-money-and-loses-customers/', 'display_url': 'geekcrunch.reviews/att-loses-mone…', 'indices': [41, 64]}], 'media': [{'id': 1210347050233192453, 'id_str': '1210347050233192453', 'indices': [65, 88], 'media_url': 'http://pbs.twimg.com/media/EMwEOsAXYAUfMhS.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EMwEOsAXYAUfMhS.jpg', 'url': 'https://t.co/tKeqqnWkNU', 'display_url': 'pic.twitter.com/tKeqqnWkNU', 'expanded_url': 'https://twitter.com/GeekCrunchR/status/1210347052200267778/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 453, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1024, 'h': 682, 'resize': 'fit'}, 'medium': {'w': 1024, 'h': 682, 'resize': 'fit'}}}]}",T,AT&T
2019-12-25 23:59:43,1209987117415354378,RT @ladygaga: AT&amp;T TV #SuperSaturdayNight tickets on sale 12/10 😘 Stream it on 2/1 https://t.co/cCSHXExDLy #ad https://t.co/Ug9oZRvXTf,984999583997661185,alex,gagaonversace,Gagas house,,G A G A,,"{'hashtags': [{'text': 'SuperSaturdayNight', 'indices': [26, 45]}, {'text': 'ad', 'indices': [111, 114]}], 'symbols': [], 'user_mentions': [{'screen_name': 'ladygaga', 'name': 'Lady Gaga', 'id': 14230524, 'id_str': '14230524', 'indices': [3, 12]}], 'urls': [{'url': 'https://t.co/cCSHXExDLy', 'expanded_url': 'http://att.com/SuperSaturdayNight', 'display_url': 'att.com/SuperSaturdayN…', 'indices': [87, 110]}], 'media': [{'id': 1204054350529613826, 'id_str': '1204054350529613826', 'indices': [115, 138], 'media_url': 'http://pbs.twimg.com/media/ELWpDW2U0AINxQB.jpg', 'media_url_https': 'https://pbs.twimg.com/media/ELWpDW2U0AINxQB.jpg', 'url': 'https://t.co/Ug9oZRvXTf', 'display_url': 'pic.twitter.com/Ug9oZRvXTf', 'expanded_url': 'https://twitter.com/ladygaga/status/1204054354547728385/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1080, 'h': 1080, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1080, 'h': 1080, 'resize': 'fit'}}, 'source_status_id': 1204054354547728385, 'source_status_id_str': '1204054354547728385', 'source_user_id': 14230524, 'source_user_id_str': '14230524'}]}",T,AT&T
2019-12-25 23:58:43,1209986864658165760,"RT @OnwardState: In the least surprising turn of events, Jordan Stout has successfully used AT&amp;T Stadium's notoriously huge jumbotron as a…",416457771,Jen Simmons,JenGroveSimmons,,,Happily married to the love of my life and mother to the most amazing son ever!! ❤️Penn State Football Mom!!!!! 🏈❤️🔵⚪️🏈 Wild Dog Mama!! I adore 34!!,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'OnwardState', 'name': 'Onward State', 'id': 17489445, 'id_str': '17489445', 'indices': [3, 15]}], 'urls': []}",T,AT&T
